Field Data 2013-2014,,,,,,
cleaned by Remi Savard 10/06/2023,,,,,,
,,,,,,
Sample_ID,Plot_Number,Date_Collected,Species,Sex,Weight_grams,Calibration_Status
1,2,7/16/13,DM,F,,yes
2,7,7/16/13,DM,M,33,yes
3,3,7/16/13,DM,M,,yes
4,1,7/16/13,DM,M,,yes
5,3,7/18/13,DM,M,40,yes
6,7,7/18/13,DM,M,48,yes
7,4,7/18/13,DM,F,29,yes
8,6,7/18/13,DM,F,37,yes
9,8,8/19/13,DO,F,52,yes
10,3,10/17/13,DO,F,33,yes
11,3,10/17/13,DO,F,50,yes
12,9,12/10/13,DO,F,40,yes
13,1,12/10/13,DO,M,45,yes
14,8,12/11/13,DO,F,41,yes
15,9,11/12/13,DS,F,117,yes
16,11,11/13/13,DS,F,126,yes
17,17,11/13/13,DS,M,132,no
18,14,11/13/13,DS,F,113,no
19,11,11/13/13,DS,F,122,yes
20,4,11/13/13,DS,F,107,yes
21,4,11/13/13,DS,F,115,yes
22,1,01/09/14,DM,M,40,yes
23,1,01/09/14,DM,F,36,yes
24,1,03/13/14,DM,F,51,yes
25,1,03/13/14,DM,F,44,yes
26,1,03/13/14,DS,F,146,yes
27,2,01/08/14,NA,,,yes
28,2,01/08/14,DM,M,44,yes
29,2,01/08/14,PF,F,7,yes
30,2,01/08/14,DM,M,45,yes
31,2,01/08/14,OT,,,yes
32,2,01/08/14,DS,M,157,no
33,2,01/08/14,OX,,,yes
34,2,02/18/14,NA,M,218,no
35,2,02/18/14,PF,F,7,yes
36,2,02/18/14,DM,M,52,yes
37,3,03/11/15,PF,M,8,yes
38,3,04/08/15,NA,F,,yes
39,3,05/06/15,,,,yes
40,3,05/18/15,NA,F,182,yes
41,3,06/09/15,OT,F,29,yes
42,3,07/08/15,NA,F,115,yes
43,3,07/08/15,NA,M,190,yes
44,4,01/08/78,DM,F,37,yes
45,4,01/08/78,DM,M,,yes
46,4,01/08/78,DM,F,48,yes
47,4,01/08/78,DO,M,52,yes
48,4,01/08/78,OL,M,35,yes
